model,repeat,fold,split_number,seed,n_validation,roc_auc,accuracy,f1_macro,f1_fake,f1_real,elapsed_seconds,batch_size,eval_batch_size,prediction_path,roc_path
DistilBERT,2,3,8,49,1026,0.9752592440599006,0.9210526315789473,0.921048956562961,0.9205103042198234,0.9215876089060987,154.12623970001005,16.0,16.0,predictions/DistilBERT/repeat_2_fold_3_predictions.csv.gz,roc_raw/DistilBERT/repeat_2_fold_3_roc.csv
DistilBERT,2,4,9,50,1026,0.9801952357610508,0.9307992202729045,0.9307802167833696,0.929633300297324,0.9319271332694152,154.10278640000615,16.0,16.0,predictions/DistilBERT/repeat_2_fold_4_predictions.csv.gz,roc_raw/DistilBERT/repeat_2_fold_4_roc.csv
DistilBERT,2,5,10,51,1025,0.9751195480019492,0.9092682926829269,0.9092264753018879,0.9072781655034895,0.9111747851002865,153.9512284999946,16.0,16.0,predictions/DistilBERT/repeat_2_fold_5_predictions.csv.gz,roc_raw/DistilBERT/repeat_2_fold_5_roc.csv
DistilBERT,3,1,11,52,1026,0.976361197557463,0.9230019493177388,0.9229930977478611,0.9221674876847291,0.9238187078109932,153.89225480007008,16.0,16.0,predictions/DistilBERT/repeat_3_fold_1_predictions.csv.gz,roc_raw/DistilBERT/repeat_3_fold_1_roc.csv
DistilBERT,3,2,12,53,1026,0.9758520190447963,0.919103313840156,0.9190970886238298,0.9183874139626353,0.9198067632850242,154.33882379997522,16.0,16.0,predictions/DistilBERT/repeat_3_fold_2_predictions.csv.gz,roc_raw/DistilBERT/repeat_3_fold_2_roc.csv
DistilBERT,3,3,13,54,1026,0.970830530951594,0.9005847953216374,0.9004482359745518,0.8967611336032388,0.9041353383458647,154.4089466999285,16.0,16.0,predictions/DistilBERT/repeat_3_fold_3_predictions.csv.gz,roc_raw/DistilBERT/repeat_3_fold_3_roc.csv
DistilBERT,3,4,14,55,1026,0.970663338007136,0.9074074074074074,0.9073333745311765,0.9047141424272819,0.909952606635071,154.19599829998333,16.0,16.0,predictions/DistilBERT/repeat_3_fold_4_predictions.csv.gz,roc_raw/DistilBERT/repeat_3_fold_4_roc.csv
DistilBERT,3,5,15,56,1025,0.9736518488060428,0.9190243902439025,0.9190216154937849,0.9185475956820411,0.9194956353055286,154.31338129995856,16.0,16.0,predictions/DistilBERT/repeat_3_fold_5_predictions.csv.gz,roc_raw/DistilBERT/repeat_3_fold_5_roc.csv
DistilBERT,4,1,16,57,1026,0.9718431882174572,0.9093567251461988,0.9093187358337254,0.9074626865671643,0.9111747851002865,154.33224250003695,16.0,16.0,predictions/DistilBERT/repeat_4_fold_1_predictions.csv.gz,roc_raw/DistilBERT/repeat_4_fold_1_roc.csv
DistilBERT,4,2,17,58,1026,0.974037595613465,0.9161793372319688,0.9161678694804528,0.9151873767258382,0.9171483622350675,154.302908499958,16.0,16.0,predictions/DistilBERT/repeat_4_fold_2_predictions.csv.gz,roc_raw/DistilBERT/repeat_4_fold_2_roc.csv
DistilBERT,4,3,18,59,1026,0.9708191314326536,0.9161793372319688,0.9161334473909324,0.9141716566866267,0.9180952380952382,154.38334790000226,16.0,16.0,predictions/DistilBERT/repeat_4_fold_3_predictions.csv.gz,roc_raw/DistilBERT/repeat_4_fold_3_roc.csv
DistilBERT,4,4,19,60,1026,0.9664018178432868,0.9025341130604289,0.902524853312255,0.9015748031496063,0.9034749034749036,154.48955359996762,16.0,16.0,predictions/DistilBERT/repeat_4_fold_4_predictions.csv.gz,roc_raw/DistilBERT/repeat_4_fold_4_roc.csv
DistilBERT,4,5,20,61,1025,0.9800651803118908,0.9258536585365854,0.9258377760853008,0.9247524752475248,0.9269230769230768,154.54547290003393,16.0,16.0,predictions/DistilBERT/repeat_4_fold_5_predictions.csv.gz,roc_raw/DistilBERT/repeat_4_fold_5_roc.csv
DistilBERT,5,1,21,62,1026,0.9681231452032724,0.9132553606237817,0.9132315393481675,0.9117938553022794,0.9146692233940555,154.57970570004545,16.0,16.0,predictions/DistilBERT/repeat_5_fold_1_predictions.csv.gz,roc_raw/DistilBERT/repeat_5_fold_1_roc.csv
DistilBERT,5,2,22,63,1026,0.9731731320938256,0.9220272904483431,0.9219914236185031,0.9203187250996016,0.9236641221374046,153.70533819997218,16.0,16.0,predictions/DistilBERT/repeat_5_fold_2_predictions.csv.gz,roc_raw/DistilBERT/repeat_5_fold_2_roc.csv
DistilBERT,5,3,23,64,1026,0.9774042535405004,0.9249512670565302,0.9249494846820077,0.9253152279340446,0.9245837414299706,153.75606100005098,16.0,16.0,predictions/DistilBERT/repeat_5_fold_3_predictions.csv.gz,roc_raw/DistilBERT/repeat_5_fold_3_roc.csv
